title,critic_score,audience_score,runtime,mpaa_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genre,casts,directors,link
Ride Along,18,58,1h 39m,PG-13,Cubevision,"Jan 17, 2014",,"Oct 1, 2015","['action', 'comedy']","['Dragos Bucur', 'Gary Owen', 'Ice Cube', 'Kevin Hart', 'Greg Coolidge', 'Jacob Latimore', 'Laurence Fishburne', 'John Alberto Leguizamo', 'Matt Alvarez', 'Will Packer', 'Tim Story', 'Bruce McGill', 'Matt Manfredi', 'Bryan Callen', 'Jason Mantzoukas', 'Tika Sumpter', 'Phil Hay', 'Nicolas Stern', 'Larry Brezner']",['Tim Story'],https://www.rottentomatoes.com/m/ride_along_2014
Brother's Justice,0,23,1h 26m,,Primate,"May 13, 2011",,"Aug 10, 2016",['comedy'],"['Bradley Cooper', 'Dan Ohara', 'Michael Rosenbaum', 'David Palmer', 'James Feldman', 'Nate Tuck', 'Jon Favreau', 'Tom Arnold', 'Dax Shepard', 'Rome Shadanloo', 'David Koechner']","['David Palmer', 'Dax Shepard']",https://www.rottentomatoes.com/m/brothers_justice
Bravetown,25,48,1h 50m,R,2 Wolves Films,,,"May 8, 2015",['drama'],"['Jae Head', 'Kherington Payne', 'Lucas Till', 'Shamier Anderson', 'Daniel Duran', 'Tom Everett Scott', 'Phyllis Laing', 'Oscar Orlando Torres', 'Katrina Norman', 'Josh Duhamel', 'Laura Dern', 'Danny Rodriguez', 'Maria Bello']",['Daniel Duran'],https://www.rottentomatoes.com/m/bravetown
London Boulevard,38,30,1h 43m,R,GK Films,"Nov 11, 2011",,"Sep 3, 2013","['crime', 'drama', 'romance']","['Ray Winstone', 'Colin Vaines', 'Tim Headington', 'Quentin Curtis', 'Anna Friel', 'Chris Menges', 'William Monahan', 'Colin Farrell', 'Ophelia Lovibond', 'Ben Chaplin', 'Stephen Graham', 'Keira Knightley', 'Jamie Campbell Bower', 'Eddie Marsan', 'David Thewlis', 'Robb Sullivan', 'Redmond Morris', 'Dody Dorn', 'Nina Gold']",['William Monahan'],https://www.rottentomatoes.com/m/london-boulevard
Frank Serpico,75,43,1h 39m,,Gigantic Pictures,"Nov 1, 2017",,"Nov 1, 2017",['documentary'],"['Jonathan Gray', 'Jason Orans', ""Antonino D'Ambrosio"", 'Frank Serpico', 'Brooke Devine', 'Brendan Canty', 'Silvija Devine', 'John Turturro', 'Brian Devine', 'Brian Devine Sr.']","[""Antonino D'Ambrosio""]",https://www.rottentomatoes.com/m/frank_serpico
Before the Flood,75,77,1h 33m,PG,National Geographic Channel,"Oct 21, 2016",,"Oct 31, 2016",['documentary'],"['Bill Clinton', 'Trevor Davidoski', 'Martin Scorsese', 'Adam Bardach', 'Pope Francis', 'Leonardo DiCaprio', 'Fisher Stevens', 'Mark Monroe', 'Elon Musk', 'John Kerry', 'Jennifer Davisson', 'James Packer', 'Brett Ratner', 'Barack Obama']",['Fisher Stevens'],https://www.rottentomatoes.com/m/before_the_flood_2016
Blood Money,50,14,1h 25m,R,Envision Media Arts,"Oct 13, 2017",,"Oct 13, 2017","['action', 'mysteryandthriller']","['Jacob Artist', 'Ellar Coltrane', 'Wendy Kay Moore', 'Johanna McGinley', 'Lars Norberg', 'Lee Nelson', 'David Tish', 'Willa Fitzgerald', 'Jared Butler', 'Lucky McKee', 'Antonio J Bell', 'Pete Abrahams', 'John Cusack', 'Pete Letz', 'Alex Vendler', 'David Buelow', 'Ned Bellamy']",['Lucky McKee'],https://www.rottentomatoes.com/m/blood_money_2017
Vampires Suck,4,29,1h 22m,PG-13,New Regency Pictures,"Aug 18, 2010",,"Nov 25, 2015",['comedy'],"['Chris Riggi', 'Arielle Kebbel', 'Peter Safran', 'Ken Jeong', 'Aaron Seltzer', 'Arnon Milchan', 'Shawn Maurer', 'Kelsey Ford', 'Dave Foley', 'Jason Friedberg', 'Peck Prior', 'Jeff Witzke', 'Matt Lanter', 'David DeLuise', 'Jenn Proske', 'Diedrich Bader']","['Aaron Seltzer', 'Jason Friedberg']",https://www.rottentomatoes.com/m/vampires_suck
The Post,88,73,1h 55m,PG-13,Participant Media,"Jan 12, 2018",,"Apr 3, 2018","['drama', 'history']","['Bruce Greenwood', 'Adam Somner', 'Tom Hanks', 'Bradley Whitford', 'Liz Hannah', 'Kristie Macosko Krieger', 'Bob Odenkirk', 'Matthew Rhys', 'Sarah Paulson', 'Steven Spielberg', 'Amy Pascal', 'Tracy Letts', 'Meryl Streep', 'Alison Brie', 'Tim White', 'Michael Stuhlbarg', 'Josh Singer', 'Tom Karnowski']",['Steven Spielberg'],https://www.rottentomatoes.com/m/the_post
Brothers,64,62,1h 44m,R,Sighvatsson Films,"Dec 4, 2009",,"Dec 23, 2011","['mysteryandthriller', 'drama', 'war']","['Natalie Portman', 'Tucker Tooley', 'Clifton Collins Jr.', 'Jim Sheridan', 'Carey Mulligan', 'Jake Gyllenhaal', 'Taylor Geare', 'Omid Abtahi', 'Zach Schiff-Abrams', 'David Benioff', 'Bailee Madison', 'Patrick Flueger', 'Jon Feltheimer', 'Sam Shepard', 'Ryan Kavanaugh', 'Tobey Maguire', 'Sigurjon Sighvatsson', 'Scott Fischer', 'Frederick Elmes', 'Michael De Luca']",['Jim Sheridan'],https://www.rottentomatoes.com/m/1213999-brothers
Beanpole,92,75,2h 17m,,ARP Sélection,"Jan 29, 2020",,"May 5, 2020",['drama'],"['Vasilisa Perelygina', 'Kantemir Balagov', 'Evgueni Galperine', 'Sergey Melkumov', 'Ksenia Kutepova', 'Timofey Glazkov', 'Igor Litoninskiy', 'Natalya Gorina', 'Viktoria Miroshnichenko', 'Alexandr Terekhov', 'Alexander Rodnyansky', 'Igor Shirokov', 'Kseniya Sereda', 'Andrey Bykov', 'Ellen Rodnianski', 'Olga Dragunova', 'Konstantin Balakirev']",['Kantemir Balagov'],https://www.rottentomatoes.com/m/beanpole
Waiting for the Barbarians,53,65,1h 52m,,Iervolino Entertainment,,,"Aug 7, 2020","['history', 'drama']","['David Dencik', 'Michael Fitzgerald', 'Johnny Depp', 'Olga Segura', 'Andrea Iervolino', 'David Moorst', 'Robert Pattinson', 'Bill Milner', 'Sam Reid', 'Greta Scacchi', 'Harry Melling', 'John Maxwell Coetzee', 'Penelope Glass', 'Mark Rylance', 'Cristina Gallego', 'Monika Bacardi', 'Gana Bajarsajhan', 'Deborah Dobson Bach', 'Ciro Guerra', 'Martin Franklin']",['Ciro Guerra'],https://www.rottentomatoes.com/m/waiting_for_the_barbarians_2020
Murder Death Koreatown,78,,,,,,,,['mysteryandthriller'],[''],[],https://www.rottentomatoes.com/m/murder_death_koreatown
The Fare,100,,,,,,,,"['mysteryandthriller', 'scifi']","['Gino Anthony Pesi', 'D.C. Hamilton']",['D.C. Hamilton'],https://www.rottentomatoes.com/m/the_fare
We Believe In Dinosaurs,91,85,1h 45m,,,,,"Nov 19, 2019",['documentary'],['Clayton Brown'],['Clayton Brown'],https://www.rottentomatoes.com/m/we_believe_in_dinosaurs
Chatroom,9,35,1h 37m,R,Ruby Films,,,"Aug 16, 2016","['drama', 'mysteryandthriller']","['Matthew Beard', 'Sharon Harel', 'Masahiro Hirakubo', 'Michelle Fairley', 'Maya Amsellem', 'Enda Walsh', 'Benoît Delhomme', 'Daniel Kaluuya', 'Hannah Murray', 'Aaron Johnson', 'Hideo Nakata', 'Nicholas Gleaves', 'Kenji Kawai', 'Megan Dodds', 'Jacob Anderson', 'Mark Foligno', 'Katherine Butler', 'Imogen Poots', 'Tuppence Middleton', 'Nina Gold']",['Hideo Nakata'],https://www.rottentomatoes.com/m/chatroom_2010
The Unspeakable Act,89,63,1h 31m,,,,,"Nov 20, 2016",['drama'],"['Andrea Fares', 'Hunter Harris', 'Caroline Luft', 'Jaime Christley', 'Tallie Medel', 'Shari Berman', 'Dan Sallitt', 'Duraid Munajim', 'Bridget Rafferty', 'Ania Trzebiatowska', 'Kati Schwartz', 'Sky Hirschkron']",['Dan Sallitt'],https://www.rottentomatoes.com/m/the_unspeakable_act_2012
Chop Chop,14,,1h 21m,,Fairwolf Productions,,,"Oct 20, 2020","['mysteryandthriller', 'horror']","['Andrew Ericksen', 'Mike Thompson', 'Mikael Mattsson', 'David Harper', 'Rony Patel', 'James McCabe', 'Jake Taylor', 'Ryan Emanuel', 'Natasha Missick', 'Atala Arce', 'Nicholas Correnti']",['Rony Patel'],https://www.rottentomatoes.com/m/chop_chop
The Incomparable Rose Hartman,75,,1h 11m,,,"Jun 2, 2017",,"Aug 30, 2017",['documentary'],"['Otis Mass', 'Scott Maguire', 'Eric Robbins', 'Bob Fisher', 'Erik Schmollinger', 'Sally Antonacchio', 'Ian Mayer', 'Russel Swanson', 'Casey Cormier']",['Otis Mass'],https://www.rottentomatoes.com/m/the_incomparable_rose_hartman
Aliyah,83,54,1h 27m,,,,,"Mar 17, 2017",['drama'],"['Bertrand Constant', 'Adèle Haenel', 'Elie Wajeman', 'Pio Marmaï', 'Yov Moor', 'Cédric Kahn', 'Sarah Lepicard', 'Stéphane Lehembre', 'David Geselson', 'Olivier Desautel', 'Lola Gans', 'Gaëlle Macé', 'François Quiqueré', 'David Chizallet', 'Sarah Teper', 'Guillaume Gouix']",['Elie Wajeman'],https://www.rottentomatoes.com/m/aliyah_2013
Sinbad the Sailor,80,59,1h 57m,,RKO Pictures,,,"Jan 13, 2017",['adventure'],"['Alan Napier', 'Walter Slezak', 'Sheldon Leonard', 'Anthony Quinn', 'John Twist', ""Maureen O'Hara"", 'Mike Mazurki', 'Douglas Fairbanks Jr.', 'Stephen Ames', 'Richard Wallace', 'John Miljan', 'George Tobias', 'Jane Greer']",['Richard Wallace'],https://www.rottentomatoes.com/m/1019045-sinbad_the_sailor
The Head Hunter,94,54,1h 12m,,Detention Films,"Apr 5, 2019",,"Apr 5, 2019","['fantasy', 'adventure', 'horror']","['Cora Kaufman', 'Ricky Fosheim', 'Aisha Ricketts', 'Nick Soole', 'Jordan Downey', 'Christopher Rygh', 'Kevin Stewart']",['Jordan Downey'],https://www.rottentomatoes.com/m/the_head_hunter_2019
Spiral Farm,100,,,,SFP,"Dec 13, 2019",,"Dec 15, 2019",['drama'],"['Amanda Plummer', 'Sara Anne', 'Madeleine Tibaldi', 'Jade Fusco', 'Cosimo Fusco', 'Thomai Hatsios', 'Anthony J. DiPasqua', 'Piper De Palma', 'Michael Hoopingarner', 'Landen Beattie', 'Alec Tibaldi', 'Nikil Shyam Sunder', 'Scott Ray', 'Teo Halm', 'Veronica Pinkham']",['Alec Tibaldi'],https://www.rottentomatoes.com/m/spiral_farm
The Intruders,17,21,1h 30m,PG-13,Darius Films,,,"Sep 14, 2016",['mysteryandthriller'],"['Claire Calarco', 'Donal Logue', 'Lodewijk Vos', 'Michael Luckett', 'Jason Juravic', 'Tom Sizemore', 'Leah Jaunzems', 'Austin Butler', 'Jenessa Grant', 'Jeff Sackman', 'Nicholas Tabarrok', 'Adam Massey', 'Brendan Steacy', 'Kelly Boegel', 'Mark Slone', 'Joseph Murray', 'Miranda Cosgrove', 'David Ostry']",['Adam Massey'],https://www.rottentomatoes.com/m/the_intruders_2015
1001 Grams,82,48,1h 33m,,,,,"Oct 6, 2016",['drama'],"['Magne-Håvard Brekke', 'Stein Winge', 'Claudia Steffen', 'Ane Dahl Torp', 'Peter Hudson', 'Marianne Slot', 'John Erik Kaada', 'Anders Refn', 'Hildegun Riise', 'Laurent Stocker', 'John Christian Rosenlund', 'Bent Hamer', 'Didier Flamand', 'Christoph Friedel', 'Per Christian Ellefsen']",['Bent Hamer'],https://www.rottentomatoes.com/m/1001_grams
Far From the Tree,90,95,1h 33m,,Ark Media,"Jul 20, 2018",,"Oct 30, 2018",['documentary'],"['Jamila Ephron', 'Sam Russell', 'Rachel Dretzin', 'Wolfgang Held', 'Nico Muhly', 'Yo La Tengo', 'Ben Gold', 'Andrew Solomon']",['Rachel Dretzin'],https://www.rottentomatoes.com/m/far_from_the_tree
Loitering With Intent,33,26,1h 15m,,Unified Pictures,"Jan 16, 2015",,"Nov 5, 2015","['comedy', 'drama']","['Gabriel Cowan', 'Marisa Tomei', 'Ivan Martin', 'Keith Kjarval', 'Brian Geraghty', 'Lars Knudsen', 'Aya Cash', 'Michael Godere', 'Adam Tomei', 'Britne Oldford', 'Patch Darragh', 'Adam Rapp', 'Isabelle McNally', 'Tory Lenosky', 'Alex Sagalchik', 'Sam Rockwell']",['Adam Rapp'],https://www.rottentomatoes.com/m/loitering_with_intent
Midnight's Children,41,39,2h 28m,,Number 9 Films,"Apr 26, 2013",,"Mar 11, 2017",['drama'],"['Siddharth', 'Colin Monie', 'Seema Biswas', 'David Hamilton', 'Ronit Roy', 'Dilip Mehta', 'Shriya Saran', 'Kulbhushan Kharbanda', 'Satya Bhabha', 'Salman Rushdie', 'Nitin Sawhney', 'Elizabeth Karlsen', 'Shahana Goswami', 'Shabana Azmi', 'Giles Nuttgens', 'Deepa Mehta', 'Rajat Kapoor', 'Doug Mankoff']",['Deepa Mehta'],https://www.rottentomatoes.com/m/midnights_children
Us and Them,60,64,1h 23m,,Into the Woods,"Mar 16, 2018",,"Apr 10, 2018","['crime', 'drama', 'mysteryandthriller']","['Stefan Mitchell', 'Danielle Clark', 'Andrew Tiernan', 'Paul Westwood', 'Shakyra Dowling', 'Joe Martin', 'Vanesa Lorena Tate', 'Jack Roth', 'Carolyn Backhouse', 'Louis Dempsey', 'Bob Palmer', 'Daniel Kendrick', 'Jeremy Sokel', 'David Osborn-Cook', 'Sophie Colquhoun', 'Tim Bentinck']",['Joe Martin'],https://www.rottentomatoes.com/m/us_and_them
It Had to Be You,60,41,1h 25m,R,Samuel Goldwyn Films,"Oct 21, 2016",,"Feb 22, 2017",['romance'],"['Sasha Gordon', 'Kate Simses', 'Richard Arlook', 'Erica Sweany', 'Kyle Mooney', 'Chris Columbus', 'Benjamin Kruger', 'Dan Soder', 'Mark Gessner', 'Halley Feiffer', 'Rachel Brenna', 'Bobby Webster', 'Cristin Milioti', 'Rachel York', 'Danny Deferrari', 'Nick Mennell']",['Sasha Gordon'],https://www.rottentomatoes.com/m/it_had_to_be_you_2016
Godzilla vs. Megalon,38,34,1h 20m,G,Toho Company,,,"Aug 10, 2016",['scifi'],"['Kotaro Tomita', 'Tomoyuki Tanaka', 'Hideto Odachi', 'Jun Fukuda', 'Hiroyuki Kawase', 'Katsuriko Sasaki', 'Yoshifumi Honda', 'Michiko Ikeda', 'Tsugutoshi Komada', 'Riichiro Manabe', 'Robert Dunham', 'Yuzuru Aizawa', 'Kenpachiro Satsuma', 'Yutaka Hayashi', 'Shinji Takagi']",['Jun Fukuda'],https://www.rottentomatoes.com/m/godzilla-vs-megalon
CBGB,7,42,1h 41m,R,Unclaimed Freight,"Oct 11, 2013",,"Jan 25, 2017",['drama'],"['Brad Rosenberger', 'Jody Savin', 'Alan Rickman', 'Malin Akerman', 'Johnny Galecki', 'Kyle Gallner', 'Stana Katic', 'Justin Bartha', 'Rupert Grint', 'Ashley Greene', 'Randall Miller', 'Lisa Kristal Burgman']",['Randall Miller'],https://www.rottentomatoes.com/m/cbgb
Janie Jones,56,52,1h 54m,,Unified Pictures,"Oct 28, 2011",,"Aug 10, 2016",['drama'],"['David M. Rosenthal', 'Nick Guzzone', 'Lee Nelson', 'Eric Bassett', 'Abigail Breslin', 'David Lee Smith', 'Brittany Snow', 'Ken Meyer', 'Matt Luber', 'Elisabeth Shue', 'Frances Fisher', 'Peter Stormare', 'Joel David Moore', 'Keith Watkins', 'Keith Kjarval', 'Rodney Eastman', 'Alessandro Nivola', 'Frank Whaley']",['David M. Rosenthal'],https://www.rottentomatoes.com/m/janie_jones
The Ventures: Stars on Guitars,100,,1h 29m,,Excessive Nuance,,,"Dec 8, 2020","['music', 'documentary']","['Tim Wilson', 'Jill Fairbanks', 'Michael Trapp', 'Nina Helene Hirten', 'John Fogerty', 'Don Wilson', 'Staci Layne Wilson']",['Staci Layne Wilson'],https://www.rottentomatoes.com/m/the_ventures_stars_on_guitars
Ash Is Purest White,99,69,2h 21m,,Xstream Pictures,"Mar 15, 2019",,"Jul 16, 2019","['romance', 'drama']","['Liao Fan', 'Jia Zhangke', 'Feng Xiaogang', 'Zhao Tao', 'Ren Zhonglun', 'Diao Yi-nan', 'Shozo Ichiyama', 'Eric Gautier', 'Matthieu Laclau', 'Zheng Xu', 'Zhang Yibai']",['Jia Zhangke'],https://www.rottentomatoes.com/m/ash_is_purest_white
Learning to Drive,66,58,1h 30m,R,Broad Green Pictures,"Aug 21, 2015",,"Aug 10, 2016","['comedy', 'drama', 'romance']","['Ben Kingsley', 'Sarita Choudhury', 'John Hodgman', 'Jake Weber', 'Thelma Schoonmaker', 'Paul Hicks', 'Matt Salinger', 'Isabel Coixet', 'Daniel Hammond', 'Patricia Clarkson', 'Dania Saragovia', 'Dhani Harrison', 'Dana Friedman', 'Daniela Lavender', 'Manuel Ruiz', 'Gabriel Hammond', 'Sarah Kernochan', 'Grace Gummer', 'Samantha Bee']",['Isabel Coixet'],https://www.rottentomatoes.com/m/learning_to_drive
An Encounter With Simone Weil,50,,1h 24m,,Line Street Productions,"Mar 23, 2012",,"Mar 17, 2017","['history', 'documentary', 'biography', 'drama']","['Timothy Haslett', 'Fabrizia Galvagno', 'Father Philippe Jobert', 'Sylvère Lotringer', 'Soraya Broukhim', 'Enrico Cullen', 'Julia Haslett', 'Daniel Thomas Davis', 'David Menschel', 'Florence De Lussy', 'Adam Haslett', 'Thomas Torres', 'Sylvie Weil']",['Julia Haslett'],https://www.rottentomatoes.com/m/an_encounter_with_simone_weil
Runoff,79,79,1h 30m,R,Cantuckee Pictures,"Jun 26, 2015",,"Aug 18, 2015",['drama'],"['Joanne Kelly', 'Tom Bower', 'Danny Bensi', 'Emilie Ritzmann', 'Kivlighan de Montebello', 'Will Battersby', 'Darlene Hunt', 'Saunder Jurriaans', 'Brad Koed', 'Joseph Melendez', 'Neal Huff', 'Shane Woodson', 'Kurt Pitzer', 'Hermes Marco', 'Kimberly Levin', 'Peter Askin', 'Julia Chasman', 'Alex Shaffer', 'Rich Williams']",['Kimberly Levin'],https://www.rottentomatoes.com/m/runoff_2015
Hot Pursuit,7,35,1h 27m,PG-13,Foxy,"May 8, 2015",,"May 24, 2016","['action', 'comedy']","['John Carroll Lynch', 'Matthew Del Negro', 'Anne Fletcher', 'Michael Ray Escamilla', 'Benny Nieves', 'Bruna Papandrea', 'Oliver Stapleton', 'Robert Kazinsky', 'Luis Balaguer', 'Joaquín Cosio', 'David Feeney', 'Reese Witherspoon', 'Richard T. Jones', 'Michael Mosley', 'Dana Fox', 'John Quaintance', 'Jeff Waxman', 'Sofía Vergara']",['Anne Fletcher'],https://www.rottentomatoes.com/m/dont_mess_with_texas_2014
6 Souls,4,45,1h 53m,R,Nala Films,"Apr 5, 2013",,"Aug 10, 2016","['mysteryandthriller', 'horror']","['Frances Conroy', 'Darlene Caamaño Loquet', 'Billy Rovzar', 'Måns Mårlind', 'Michael Cooney', 'KatiAna Davis', 'Emilio Diez Barroso', 'Brooklynn Proulx', 'Björn Stein', 'Jonathan Rhys-Meyers', 'Linus Sandgren', 'Jeffrey DeMunn', 'Neal Edelstein', 'Michael Graves', 'Nathan Corddry', 'Mike Macari', 'John Frizzell', 'Julianne Moore']","['Björn Stein', 'Måns Mårlind']",https://www.rottentomatoes.com/m/6_souls
Embattled,70,77,1h 57m,R,Blitz Films,"Nov 20, 2020",,"Nov 20, 2020",['drama'],"['Leopold Manswell', 'Mark Sanger', 'Darren Mann', 'Frank Ragen', 'David McKenna', 'Nick Sarkisov', 'Sergey Sarkisov', 'Michael Brook', 'Eryl Cochran', 'Stephen Dorff', 'Ava Capri', 'Donald Faison', 'Scott LaStaiti', 'Elizabeth Reaser', 'Colin McKenna', 'Saïd Taghmaoui', 'Karrueche Tran', 'Drew Starkey', 'Paul Ozgur']",['Nick Sarkisov'],https://www.rottentomatoes.com/m/embattled
Seasons,97,71,1h 37m,PG,Galatée Films,"Nov 25, 2016",,"Feb 15, 2017",['documentary'],"['Nicolas Elghozi', 'Stéphane Durand', 'Jacques Perrin', 'Lydia Montes', 'Dimitri Billecocq', 'Johann Mousseau', 'Jacques Cluzaud']","['Jacques Cluzaud', 'Jacques Perrin']",https://www.rottentomatoes.com/m/seasons_2016
The Time That Remains,85,68,1h 49m,,,"Jan 7, 2011",,"Apr 10, 2017","['drama', 'history']","['Amer Hlehel', 'Véronique Lange', 'Ali Suliman', 'Menashe Noy', 'Elia Suleiman', 'Saleh Bakri', 'Baher Agbariya', 'Lutuf Nweiser', 'Avi Kleinberger', 'Nati Ravitz', 'Michael Gentile', 'Juna Suleiman', 'Hani Farsi', 'Marc-André Batigne', 'Sharif Waked', 'George Khleifi']",['Elia Suleiman'],https://www.rottentomatoes.com/m/time_that_remains
Guidance,88,56,1h 21m,,,"Aug 21, 2015",,"Jul 16, 2016",['comedy'],"['Laytrel McMullen', 'Daniel Grant', 'Lodewijk Vos', 'David Tompa', 'Zahra Bentham', 'Pat Mills', 'Jennifer Goodhue', 'Mike MacMillan', 'Bryan Atkinson', 'Joseph Murray', 'Kevin Hanchard', 'Tracey Hoyt', 'Ian Matthews', 'Allison Hossack', 'David Wontner', 'Alyson Richards', 'Ed Gernon']",['Pat Mills'],https://www.rottentomatoes.com/m/guidance_2014
The Imaginarium of Doctor Parnassus,64,60,2h 2m,PG-13,Infinity Entertainment,"Jan 8, 2010",,"Apr 16, 2012","['mysteryandthriller', 'fantasy', 'adventure']","['Colin Farrell', 'Jeff Danna', 'Terry Gilliam', 'Johnny Depp', 'Andrew Garfield', 'Verne Troyer', 'Charles McKeown', 'William Vince', 'Heath Ledger', 'Samuel Hadida', 'Jude Law', 'Peter Stormare', 'Amy Gilliam', 'Dave Valleau', 'Victor Hadida', 'Lily Cole', 'Christopher Plummer', 'Tom Waits']",['Terry Gilliam'],https://www.rottentomatoes.com/m/the_imaginarium_of_doctor_parnassus
Papillon,51,65,2h 13m,R,Joey McFarland,"Aug 24, 2018",,"Oct 30, 2018","['history', 'drama', 'biography', 'adventure']","['Nina Senicar', 'Joey McFarland', 'Charlie Hunnam', 'Rami Malek', 'Roger Corbi', 'Roland Møller', 'Terence Chang', 'Ram Bergman', 'David Koplan', 'Aaron Guzikowski', 'Brian Vernel', 'Samuel Hadida', 'Danny Dimbort', 'Christopher Fairbank', 'Yan Fisher-Romanovsky', 'Tommy J. Flanagan', 'Michael Noer', 'Eve Hewson']",['Michael Noer'],https://www.rottentomatoes.com/m/papillon_2018
Liberal Arts,71,60,1h 37m,PG-13,BCDF Pictures,"Sep 14, 2012",,"Nov 30, 2016","['comedy', 'drama', 'romance']","['Peter Graham', 'Claude Dal Farra', 'Elizabeth Reaser', 'Allison Janney', 'Kate Burton', 'Ali Ahn', 'Brice Dal Farra', 'John Magaro', 'Lauren Munsch', 'Richard Jenkins', 'Josh Radnor', 'Zac Efron', 'Paul Prokop', 'Elizabeth Olsen', 'Robert Desiderio', 'Jesse Hara', 'Stephen Hays']",['Josh Radnor'],https://www.rottentomatoes.com/m/liberal_arts
Tooth Fairy,17,41,1h 42m,PG,Mayhem Pictures,"Jan 22, 2010",,"Dec 12, 2015","['kidsandfamily', 'fantasy', 'comedy']","['Seth MacFarlane', 'Ryan Sheckler', 'Destiny Grace Whitlock', 'Jason Blum', 'Babaloo Mandel', 'Julie Andrews', 'Dwayne Johnson', 'Michael Lembeck', 'Lowell Ganz', 'Brandon T. Jackson', 'Chase Ellison', 'Mark Ciardi', 'Joshua Sternin', 'Randi Mayem Singer', 'Jeffrey Ventimilia', 'Ashley Judd', 'Gordon Gray', 'Stephen Merchant', 'Dan Joffre', 'Jim Piddock']",['Michael Lembeck'],https://www.rottentomatoes.com/m/1202110-tooth_fairy
Güeros,92,80,1h 48m,,Postal Producciones,"May 20, 2015",,"Oct 21, 2016",['comedy'],"['Laura Almela', 'Raúl Briones', 'Ramiro Ruiz', 'José Felipe', 'Alonso Ruiz Palacios', 'Coria Corial', 'Sebastián Aguirre', 'Adrián Ladrón', 'Alfonso Charpener', 'Yibran Assaud', 'Gibrán Portela', 'Tomás Barreiro', 'Camila Lora', 'Damian Garcia', 'Ilse Salas', 'Leonardo Ortizgris', 'Tenoch Huerta']",['Alonso Ruiz Palacios'],https://www.rottentomatoes.com/m/gueros
The Wave,83,65,1h 45m,R,Film i Väst,"Mar 4, 2016",,"Apr 4, 2017","['adventure', 'action', 'mysteryandthriller']","['Arthur Berning', 'Roar Uthaug', 'Magnus Beite', 'Edith Haagenrud-Sande', 'Eili Harboe', 'Fridtjov Såheim', 'Jonas Hoff Oftebro', 'John Christian Rosenlund', 'Martin Sundland', 'Are Heidenstrom', 'Astrid Astrup', 'Herman Bernhoft', 'Ane Dahl Torp', 'Silje Breivik', 'John Kåre Raake', 'Christian Siebenherz', 'Lina Nordqvist', 'Laila Goody', 'Harald Rosenløw Eeg', 'Kristoffer Joner']",['Roar Uthaug'],https://www.rottentomatoes.com/m/the_wave_2016
American Reunion,45,63,1h 52m,R,Practical Pictures,"Apr 6, 2012",,"Aug 14, 2015",['comedy'],"['Alyson Hannigan', 'Chris Moore', 'Paul Weitz', 'Jennifer Coolidge', 'Louis G. Friedman', 'Tara Reid', 'Jason Biggs', 'Warren Zide', 'Mena Suvari', 'Jon Hurwitz', 'Eugene Levy', 'Chris Klein', 'Craig Perry', 'Thomas Ian Nicholas', 'Hayden Schlossberg', 'Seann William Scott', 'Eddie Kaye Thomas', 'Adam Herz']","['Jon Hurwitz', 'Hayden Schlossberg']",https://www.rottentomatoes.com/m/american_reunion_2012
Grease: Live!,92,68,,,,,,,[],"['Aaron Tveit', 'Julianne Hough', 'Thomas Kail', 'Vanessa Hudgens', 'Carly Rae Jepsen']",['Thomas Kail'],https://www.rottentomatoes.com/m/grease_live
A Beautiful Life,0,24,1h 21m,,,,,"May 17, 2019","['drama', 'romance']","['Debi Mazar', 'Meltem Cumbul', 'Wendy Hammond', 'Saadet Aksoy', 'Alejandro Chomski', 'Dana Delany', 'Deborah Calla', 'Tuba Ünsal', 'Jesse Garcia', 'Bai Ling', 'Nesim Hason', 'Angela Sarafyan']",['Alejandro Chomski'],https://www.rottentomatoes.com/m/10011735-beautiful_life
A Farewell to Fools,40,23,1h 30m,PG-13,,"Mar 7, 2014",,"Sep 30, 2014","['comedy', 'war', 'history', 'drama']","['Nicodim Ungureanu', 'Iulia Boros', 'Bogdan Dreyer', 'Alexandru Bindea', 'Laura Morante', 'Gheorghe Visu', 'Adina Cartianu', 'Harvey Keitel', 'Richard Van Oosterhout', 'Gérard Depardieu', 'Bogdan Iancu', 'Hubert Damen', 'Anusavan Salamanian']",['Bogdan Dreyer'],https://www.rottentomatoes.com/m/a_farewell_to_fools
Blood Vessel,73,21,1h 33m,,,,,"Jul 16, 2020",['horror'],['Alyssa Sutherland'],[],https://www.rottentomatoes.com/m/blood_vessel
Eye for an Eye,89,61,1h 47m,,Atresmedia Cine,,,"Jan 15, 2020",['mysteryandthriller'],"['Víctor Duplá', 'Tania Lamata', 'Maika Makovski', 'Pablo Guisa Koestinger', 'María Luisa Mayol', 'Juan Galiñanes', 'Enric Auquer', 'Dani Currás', 'Ismael Martínez', 'Paco Plaza', 'Pablo Rosso', 'Alberto Abuín', 'Luis Tosar', 'María Vázquez', 'Jorge Guerricaechevarría']",['Paco Plaza'],https://www.rottentomatoes.com/m/eye_for_an_eye_2019
