,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
840,840,OurMothers,71,,1h 18m,,,"Apr 3, 2020",,"Jan 27, 2021","['war', 'drama']","{'Géraldine Sprimont', 'Armando Espitia', 'Damien Maestraggi', 'César Diaz', 'Emma Dib', 'César Díaz', 'Rémi Boubal', 'Virginie Surdej', 'Pamela Guinea', 'Delphine Schmit'}",{'César Díaz'},https://www.rottentomatoes.com/m/our_mothers
841,841,TheCandyWitch,17,,1h 30m,,,,,"Jun 9, 2020",['horror'],"{'Rebecca Matthews', 'Abi Casson Thompson'}",{'Rebecca Matthews'},https://www.rottentomatoes.com/m/the_candy_witch
842,842,TheWretched,75,46,1h 35m,,,"May 1, 2020",,"Apr 29, 2020","['horror', 'mysteryandthriller']","{'John-Paul Howard', 'Azie Tesfai', 'Brett Pierce', 'Chang Tseng', 'Zarah Mahler', 'Kevin Bigley', 'Piper Curda', 'Judah Abner Paul', 'Blane Crockarell', 'Richard Ellis', 'Jamison Jones', 'Amy Waller', 'Drew Pierce', 'Lanier Porter', 'Ed Polgardy', 'Conor Murphy', 'Leman Porter', 'Willis King'}","{'Brett Pierce,                                                     Drew Pierce'}",https://www.rottentomatoes.com/m/the_wretched_2020
843,843,JumpShotTheKennySailorsStory,100,98,1h 13m,,,,,"Jun 2, 2020","['biography', 'documentary']","{'Grant Myers', 'Stephen Curry', 'Jay Bilas', 'Joshua Myers', 'Lou Carnesecca', 'Jim Hamilton', 'Kevin Durant', 'Brenda J. Robinson', 'Russell Wayne Groves', 'Dirk Nowitzki', 'Bobby Knight', 'Jacob Hamilton'}",{'Jacob Hamilton'},https://www.rottentomatoes.com/m/jump_shot_the_kenny_sailors_story
844,844,TheSwerve,98,66,1h 35m,,,,,"Sep 22, 2020",['drama'],"{'Bryce Pinkham', 'Alina Smirnova', 'Dean Kapsalis', 'Ashley Bell', 'Taen Phillips', 'Jason Gupton', 'Deborah Hedwall', 'Liam Seib', 'Mark Korven', 'Eric Hall', 'Dan Daily', 'Tommy Minnix', 'Lindsay Jackson', 'Zach Rand', 'Adrienne Stern', 'Jenna Giannini', 'Azura Skye', 'Daryl Pittman'}",{'Dean Kapsalis'},https://www.rottentomatoes.com/m/the_swerve
845,845,SpenserConfidential,37,52,1h 51m,,,,,"Mar 10, 2020",['action'],"""{'Mark Wahlberg', 'Austin Post', 'Brian Helgeland', 'Winston Duke', 'Bokeem Woodbine', 'Eric Heffron', 'Michael Gaston', 'James DuMont', 'Peter Berg', 'Colleen Camp', 'Iliza Shlesinger', """"Sean O'Keefe""""", 'Alan Arkin', 'Marc Maron'
846,846,Stuber,42,79,1h 33m,,,"Jul 12, 2019",,"Aug 27, 2019","['action', 'comedy']","{'Jonathan Schwartz', 'Steve Howey', 'Michael Dowse', 'Nicholas Thomas', 'Betty Gilpin', 'Rene Moran', 'Jake Wagner', 'Joseph Trapanese', 'John Francis Daley', 'Natalie Morales', 'Bobby Shore', 'Mira Sorvino', 'Dave Bautista', 'Jimmy Tatro', 'Jonathan Goldstein', 'Karen Gillan', 'Jeremiah Samuels', 'Kumail Nanjiani', 'Iko Uwais', 'Tripper Clancy'}",{'Michael Dowse'},https://www.rottentomatoes.com/m/stuber
847,847,Cubby,73,61,1h 23m,,,"Nov 1, 2019",,"Nov 15, 2019","['gayandlesbian', 'drama', 'comedy']","{'David France', 'Peter Y. Kim', 'Sinisa Kukic', 'Lucy DeVito', 'Jon Natchez', 'Henry van Ameringen', 'Mark Blane', 'Christian Patrick', 'Naian González Norvind', 'Rodney Richardson', 'Max Ethan Miller', 'Ben Mankoff', 'James Bartol', 'Matthew Shear', 'Patricia Richardson', 'John Duff', 'Jeanine Serralles'}","{'Mark Blane,                                                     Ben Mankoff'}",https://www.rottentomatoes.com/m/cubby
848,848,MadeinItaly,44,40,1h 34m,,,"Aug 7, 2020",,"Aug 7, 2020","['drama', 'comedy']","""{'Valeria Bilello', 'Mike Eley', 'Pippa Cross', 'Tara Finegan', 'Gian Marco Tavani', 'Anders Erden', 'Sam Tipper-Hale', 'Peter Touche', 'Lindsay Duncan', 'Yolanda Kettle', 'Micheál Richardson', """"James D'Arcy""""", 'Liam Neeson', 'Helena Antonio'
849,849,Greatland,50,95,,,,,,"Nov 1, 2020","['adventure', 'fantasy', 'scifi']","{'Eric Roberts', 'Nick Moran', 'Chloe Ray Warmoth', 'Arman Darbo', 'Bill Oberst Jr.', 'J.P. Manoux', 'Dana Ziyasheva', 'Shannon Briggs'}",{'Dana Ziyasheva'},https://www.rottentomatoes.com/m/greatland
