,_c0,title,critic_score,audience_score,runtime,MPAA_rating,studio,theater_release_date,dvd_release_date,streaming_release_date,genres,casts,directors,link
535,535,PokmontheMovieMewtwoStrikesBackEvolution,44,43,1h 38m,,,,,"Mar 10, 2020","['adventure', 'action', 'anime', 'kidsandfamily']","{'Kunihiko Yuyama', 'Yûji Ueda', 'Rica Matsumoto', 'Mayumi Iizuka', 'Ikue Ōtani'}",{'Kunihiko Yuyama'},https://www.rottentomatoes.com/m/pokemon_the_movie_mewtwo_strikes_back_evolution
536,536,Hustlers,87,65,1h 50m,,,"Sep 13, 2019",,"Sep 13, 2019","['drama', 'comedy']","{'Jessica Pressler', 'Mette Towley', 'Jessica Elbaum', 'Emma Batiz', 'Jennifer Lopez', 'Julia Stiles', 'Mercedes Ruehl', 'Vanessa Aspillaga', 'Lorene Scafaria', 'Robert Simonds', 'Trace Lysette', 'Constance Wu', 'Big Jay Oakerson', 'Elaine Goldsmith-Thomas', 'Benny Medina', 'Will Ferrell', 'Wai Ching Ho', 'Adam McKay'}",{'Lorene Scafaria'},https://www.rottentomatoes.com/m/hustlers_2019
537,537,Babysplitters,69,88,1h 59m,,,,,"Jul 23, 2020",['comedy'],"{'Mark Feuerstein', 'Christine Kim', 'Maiara Walsh', 'Luca Malacrino', 'Jimmy Stofer', 'Rebecca G. Stone', 'Matt DiNicola', 'Eddie Alfano', 'David C. Smith', 'Emily C. Chang', 'M. Shawn Lawler', 'John Griffin', 'Andree Vermeulen', 'Sam Friedlander', 'Alicia Robbins', 'Maya Stojan', 'Brian Thomas Smith', 'Danny Pudi'}",{'Sam Friedlander'},https://www.rottentomatoes.com/m/babysplitters
538,538,JumanjiTheNextLevel,71,87,2h 3m,,,"Dec 13, 2019",,"Dec 13, 2019","['adventure', 'fantasy', 'comedy', 'action']","{'Jack Black', 'Morgan Turner', 'Alex Wolff', 'Jake Kasdan', 'Madison Iseman', 'Karen Gillan', 'Dwayne Johnson', 'Jeff Pinkner', 'Matt Tolmach', 'Nick Jonas', 'Ted Field', 'Scott Rosenberg', 'Kevin Hart', 'Hiram Garcia', 'Awkwafina', 'Dany Garcia', 'Ashley Scott'}",{'Jake Kasdan'},https://www.rottentomatoes.com/m/jumanji_the_next_level
539,539,ManCamp,100,77,1h 34m,,,,,"Apr 19, 2020",['comedy'],"{'Scott Kruse', 'Grant Langdon', 'Josh Long', 'Jonathan Melin', 'Nate James Bakke', 'Kristie Franklin', 'Anna Rubley', 'Tammy Kaitz', 'Alex Parker', 'Erik Stocklin', 'Raleigh Cain', 'Pete Gardner', 'Daniel Cummings', 'Dusty Franklin'}",{'Nate James Bakke'},https://www.rottentomatoes.com/m/man_camp_2020
540,540,MakingMontgomeryClift,100,80,1h 28m,,,,,"Oct 15, 2019",['documentary'],"{'Robert Anderson Clift', 'Hillary Demmon', 'Gerald Herman'}","{'Robert Anderson Clift,                                                     Hillary Demmon'}",https://www.rottentomatoes.com/m/making_montgomery_clift
541,541,BurningDog,100,,1h 29m,,,,,"Mar 16, 2020",['mysteryandthriller'],"{'Trey Batchelor', 'Greg Grunberg'}",{'Trey Batchelor'},https://www.rottentomatoes.com/m/burning_dog
542,542,TheFare,100,,,,,,,,"['mysteryandthriller', 'scifi']","{'D.C. Hamilton', 'Gino Anthony Pesi'}",{'D.C. Hamilton'},https://www.rottentomatoes.com/m/the_fare
543,543,ACalltoSpy,72,82,2h 4m,,,"Oct 2, 2020",,"Oct 2, 2020","['history', 'drama']","{'Linus Roache', 'Rossif Sutherland', 'David Hoffman', 'Andrew Richardson', 'Harriet Leve', 'Robby Baumgartner', 'Samuel Roukin', 'Sarah Megan Thomas', 'Paul Tothill', 'Lillie Rebecca McDonough', 'Kim Jennings', 'Radhika Apte', 'Stana Katic', 'Joey Shaista Horn', 'Lydia Dean Pilcher'}",{'Lydia Dean Pilcher'},https://www.rottentomatoes.com/m/a_call_to_spy
544,544,BulletsofJustice,57,,,,,"Oct 15, 2020",,"Oct 15, 2020","['action', 'comedy', 'horror']","{'Doroteya Toleva', 'Julian Kostov', 'Danny Trejo', 'Giles Anderson', 'Dessy Slavova', 'Timur Turisbekov', 'Ester Chardaklieva', 'Valeri Milev', 'Yana Marinova'}",{'Valeri Milev'},https://www.rottentomatoes.com/m/bullets_of_justice
545,545,Volition,88,72,1h 31m,,,"Jul 10, 2020",,"Jul 10, 2020","['mysteryandthriller', 'scifi']","{'Bill Marchant', 'Kimi Alexander', 'Aleks Paunovic', 'Keri Smith', 'Adrian Glynn McMorran', 'Cecilly Day', 'Tony Dean Smith', 'Tony Durke', 'Frank Cassini', 'Paly Palestrant', 'John Cassini', 'Ryan W. Smith', 'Byron Kopman', 'Matthew Rogers', 'Magda Apanowicz'}",{'Tony Dean Smith'},https://www.rottentomatoes.com/m/volition
546,546,TheTroubleWithYou,77,62,1h 48m,,,,,"Jan 26, 2020","['crime', 'drama', 'comedy']","{'Géraldine Mangenot', 'Alexandre Marouani', 'Hocine Choutri', 'Benjamin Charbit', 'Damien Bonnard', 'Vincent Elbaz', 'David Thion', 'Isabelle Devinck', 'Adèle Haenel', 'Olivier Charasson', 'Audrey Tautou', 'Octave Bossuet', 'Julien Poupard', 'Philippe Martin', 'Benoît Graffin', 'Camille Bazbaz', 'Pierre Salvadori', 'Jean-Louis Barcelona', 'Pio Marmaï'}",{'Pierre Salvadori'},https://www.rottentomatoes.com/m/the_trouble_with_you
547,547,MaronasFantasticTale,96,89,1h 32m,,,,,"Jun 12, 2020","['animation', 'drama']","{'Anca Damian', 'Tomas Leyers', 'Ron Dyens', 'Anghel Damian', 'Nathalie Boutefeu', 'Lizzie Brocheré', 'Shirelle Mai-Yvart', 'Maïra Schmitt', 'Bruno Salomone', 'Thierry Hancisse'}",{'Anca Damian'},https://www.rottentomatoes.com/m/maronas_fantastic_tale
548,548,HerbAlpertIs,82,,1h 53m,,,"Oct 2, 2020",,,['documentary'],"{'Herb Alpert', 'John Scheinfeld'}",{'John Scheinfeld'},https://www.rottentomatoes.com/m/herb_alpert_is
549,549,Mine,90,77,1h 23m,,,"Apr 12, 2019",,"Jan 7, 2020",['drama'],"{'Alpha Trivette', 'Erin Elizabeth Burns', 'Mauricio Yazigi', 'Matthew Boyd', 'Jeffery C. Foy', 'Anaitte Vaccaro', 'Drew Starkey', 'Eddie Mensore', 'Francine Locke', 'Autumn Bailey', 'Terry Serpico', 'Mark Ashworth', 'Kevin Sizemore', 'Clint James', 'Charles Rashard', 'Joseph Gutowski'}",{'Eddie Mensore'},https://www.rottentomatoes.com/m/mine_9
550,550,KnivesOut,97,92,2h 10m,,,"Nov 27, 2019",,"Jun 12, 2020","['crime', 'mysteryandthriller', 'drama', 'comedy']","{'Don Johnson', 'Toni Collette', 'Michael Shannon', 'Steve Yedlin', 'Daniel Craig', 'LaKeith Stanfield', 'Jaeden Martell', 'Jamie Lee Curtis', 'Rian Johnson', 'Brye Adler', 'Ram Bergman', 'Bob Ducsay', 'Jonathan Golfman', 'Ana de Armas', 'Katherine Langford', 'Tom Karnowski', 'Nathan Johnson', 'Chris Evans'}",{'Rian Johnson'},https://www.rottentomatoes.com/m/knives_out
551,551,ScaryStoriestoTellintheDark,78,72,1h 51m,,,"Aug 9, 2019",,"Aug 27, 2019","['horror', 'mysteryandthriller']","{'Michael Garza', 'André Øvredal', 'Lorraine Toussaint', 'Dean Norris', 'Zoe Colletti', 'Elizabeth Grave', 'Kevin Hageman', 'Jason F. Brown', 'Dan Hageman', 'J. Miles Dale', 'Kathleen Pollard', 'Austin Abrams', 'Gabriel Rush', 'Gil Bellows', 'Sean Daniel', 'Natalie Ganzhorn', 'Alex Ginno', 'Guillermo del Toro', 'Peter Luo', 'Austin Zajur'}",{'André Øvredal'},https://www.rottentomatoes.com/m/scary_stories_to_tell_in_the_dark
552,552,Browse,20,,1h 25m,,,,,"Jul 8, 2020",['mysteryandthriller'],"{'Ken Kirby', 'Kelly Fallon', 'Raphael Margules', 'Mario Carvalhal', 'Subi Liang', 'Mike Testin', 'Sarah Rafferty', 'Bodhi Elfman', 'Jocelin Donahue', 'J.D. Lifshitz', 'Allison Dunbar', 'Chloe Bridges', 'Lukas Haas', 'Scott Bailey', 'Ho-Cheung Pang', 'Makaya McCraven'}",{'Mike Testin'},https://www.rottentomatoes.com/m/browse
553,553,AChefsVoyage,67,,1h 30m,,,"Sep 18, 2020",,"Nov 24, 2020",['documentary'],"{'Kirby Feagan', 'Mark Gottwald', 'Jordan Feagan', 'Mary Wagstaff', 'Kyle Newmaster', 'Steven Holleran', 'Rémi Anfosso', 'David Kinch'}",{'Rémi Anfosso'},https://www.rottentomatoes.com/m/a_chefs_voyage
554,554,TheBlackout,57,71,2h 33m,,,,,"May 22, 2020","['scifi', 'action']","""{'Oleg Boyko', 'Artyom Tkachenko', 'Egor Baranov', 'Oleg Chugunov', 'Pyotr Fyodorov', """"Il'ya Kulikov""""", 'Evgeniy Nikishov', 'Maksim Artamonov'
555,555,BlackBoys,83,71,1h 35m,,,,,"Sep 10, 2020",['documentary'],"{'Malcolm Jenkins', 'Jon-Thomas Royston', 'Chad Williamson', 'Elliot V. Kotek', 'Jeanne Tyson', 'Sonia Lowman', 'Evald Ridore'}",{'Sonia Lowman'},https://www.rottentomatoes.com/m/black_boys
556,556,MostWanted,69,49,2h 5m,,,"Jul 24, 2020",,"Jul 24, 2020","['crime', 'mysteryandthriller', 'drama']","""{'J.C. Mackenzie', 'Josh Hartnett', 'Antoine Olivier Pilon', 'Stephen McHattie', 'Jim Gaffigan', 'Andre Rouleau', 'Eric Gozlan', 'Delphine Perrier', 'Amanda Crew', 'Cory Lipman', 'Arianne Fraser', 'Daniel Roby', 'Don McKellar', """"Valérie d'Auteuil""""", 'Ronald Plante', 'Rose-Marie Perreault'
557,557,Abe,70,70,1h 25m,,,"Apr 17, 2020",,"Apr 17, 2020","['drama', 'comedy']","{'Caio Gullane', 'Dagmara Dominczyk', 'Christopher Vogler', 'Arian Moayed', 'Noah Schnapp', 'Carlos Ciampolini', 'Lameece Issaq', 'Seu Jorge', 'Mark Margolis', 'Daniel Oreskes', 'Tom Mardirosian', 'Teddy Coluca', 'Fernando Grostein Andrade', 'Fabiano Gullane', 'Larry Gevirtz', 'Alexander Hodge', 'Claudia Büschel', 'Noberto Pinheiro Jr.'}",{'Fernando Grostein Andrade'},https://www.rottentomatoes.com/m/abe_2019
558,558,OneManandHisShoes,77,,1h 23m,,,,,"Oct 26, 2020",['documentary'],"{'DJ Clark Kent', 'Scoop Jackson', 'David Falk', 'Sonny Vaccaro', 'Will Thorne', 'Jemele Hill', 'Baba Adefuye', 'Christopher Hird', 'Caroline Stern', 'James Ramkoleea', 'Yemi Bamiro', 'David Stern', 'Michael Marden'}",{'Yemi Bamiro'},https://www.rottentomatoes.com/m/one_man_and_his_shoes
559,559,Caged,43,33,1h 21m,,,"Jan 26, 2021",,"Jan 26, 2021",['mysteryandthriller'],"{'Melora Hardin', 'Ryan Sage', 'James Doc Mason', 'Matthew Temple', 'James Jagger', 'Ben White', 'McCristol Harris', 'Anzu Lawson', 'Robert R. Shafer', 'Tony Amendola', 'Edi Gathegi', 'Angela Sarafyan', 'Chris Blasman', 'Andy Mackenzie', 'Jessa Zarubica', 'Pete Kirtley', 'Aaron Fjellman'}",{'Aaron Fjellman'},https://www.rottentomatoes.com/m/caged_2021
560,560,ComfortFarms,67,,1h 17m,,,,,"Dec 8, 2020",['documentary'],"{'Catherine Kellam', 'Carlisle Kellam'}",{'Carlisle Kellam'},https://www.rottentomatoes.com/m/comfort_farms
561,561,TheSecretDaretoDream,28,74,1h 47m,,,,,"Jul 31, 2020","['drama', 'romance']","""{'Katie Holmes', 'Joe Gelchion', 'Elissa Friedman', 'Josh Lucas', 'Chloe Lee', 'Andy Tennant', 'Rick Parks', 'Robert W. Cort', 'Robert Katz', 'Aidan Pierce Brennan', 'Sarah Hoffmeister', 'Celia Weston', 'Katrina Begin', 'Matthew George', 'Christopher H. Warner', """"Jerry O'Connell""""", 'Rhonda Byrne'," 'Andrew Dunn'}"""
562,562,ReadyorNot,88,78,1h 35m,,,"Aug 21, 2019",,"Aug 27, 2019","['horror', 'mysteryandthriller', 'comedy']","""{'Samara Weaving', 'Henry Czerny', 'John Ralston', 'William Sherak', 'Kristian Bruun', 'R. Christopher Murphy', 'Chad Villella', 'Matt Bettinelli-Olpin', """"Mark O'Brien""""", 'Nicky Guadagni', 'Elyse Levesque'
563,563,EscapeFromPretoria,73,77,1h 41m,,,"Mar 6, 2020",,"Mar 6, 2020","['mysteryandthriller', 'drama']","{'Mark Leonard Winter', 'Jeff Fowler', 'Toru Nakahara', 'Francis Annan', 'L.H. Adams', 'Nathan Page', 'Jeanette Cronin', 'Paul Harvey', 'Martin Ayles', 'Ratidzo Mambo', 'Neal H. Moritz', 'Daniel Radcliffe', 'Daniel Webber', 'Masanao Maeda', 'Tim Miller', 'Ian Hart', 'David Barron', 'Stephen Hunter', 'Toby Ascher'}",{'Francis Annan'},https://www.rottentomatoes.com/m/escape_from_pretoria
564,564,Rabid,56,31,1h 48m,,,"Dec 13, 2019",,"Dec 13, 2019",['horror'],"{'Benjamin Hollingsworth', 'Stephen McHattie', 'Jen Soska', 'Greg Bryk', 'Stephen Huszar', 'Mackenzie Gray', 'Laura Vandervoort', 'CM Punk', 'Tara Yelland', 'Hanneke Talbot', 'John Serge', 'Sylvia Soska'}","{'Jen Soska,                                                     Sylvia Soska'}",https://www.rottentomatoes.com/m/rabid_2019
565,565,MortalKombatLegendsScorpionsRevenge,90,86,1h 20m,,,"Apr 12, 2020",,"Apr 12, 2020","['adventure', 'animation', 'action']","{'Dave B. Mitchell', 'Ike Amadi', 'Jennifer Carpenter', 'Darin De Paul', 'Robin Atkin Downes', 'Ethan Spaulding', 'Steve Blum', 'Jordan Rodrigues', 'Joel McHale', 'Sam Register', 'Artt Butler', 'Jeremy Adams', 'Rick Morales', 'John Jennings Boyd', 'Patrick Seitz', 'Ed Boon'}",{'Ethan Spaulding'},https://www.rottentomatoes.com/m/mortal_kombat_legends_scorpions_revenge
566,566,Votes,100,83,,,,,,"Oct 21, 2020",['documentary'],"{'Adam McKay', 'Todd Schulman', 'Alfred Spellman', 'Billy Corben'}",{'Billy Corben'},https://www.rottentomatoes.com/m/537_votes
567,567,Retaliation,76,,1h 31m,,,"Jul 24, 2020",,"Jul 24, 2020","['mysteryandthriller', 'drama']","{'Anne Reid', 'Janet Montgomery', 'Ludwig Shammasian', 'Jasper Graham', 'Paul Shammasian', 'Kyle Rees', 'Geoff Thompson', 'Felix Wiedemann', 'Charlie Creed-Miles', 'Michael Chapman', 'Orlando Bloom', 'Josh Myers', 'Natasha Sparkes', 'James Harris', 'James Smillie', 'Mark Lane', 'Sheetal Vinod Talwar', 'Kirsty Bell', 'Alex Ferns'}","{'Ludwig Shammasian,                                                     Paul Shammasian'}",https://www.rottentomatoes.com/m/retaliation_2020
568,568,DeathstrokeKnightsDragons,80,93,1h 27m,,,,,"Jul 5, 2020","['adventure', 'animation', 'action']","{'Chris Jai Alex', 'Michael Chiklis', 'Colin Salmon', 'Castulo Guerra', 'Sasha Alexander', 'Asher Bishop', 'Greg Berlanti', 'Sung Jin Ahn', 'Faye Mata', 'Griffin Puatu', 'Minae Noji', 'Panta Mosleh'}",{'Sung Jin Ahn'},https://www.rottentomatoes.com/m/deathstroke_knights_and_dragons
569,569,Extraction,67,69,1h 57m,,,,,"Apr 25, 2020","['mysteryandthriller', 'action']","{'Chris Hemsworth', 'Steven V. Scavelli', 'Eric Gitter', 'Benjamin Grayson', 'Ari Costa', 'Mike Larocca', 'Anthony Russo', 'Joe Russo', 'Sam Hargrave', 'Rudhraksh Jaiswal', 'David Harbour', 'Shivam Vichare', 'Mir Sarwar', 'Golshifteh Farahani', 'Randeep Hooda', 'Pankaj Tripathi', 'Patrick Newall', 'Rayna Campbell'}",{'Sam Hargrave'},https://www.rottentomatoes.com/m/extraction_2020
570,570,InvasionPlanetEarth,0,30,1h 38m,,,,,"Feb 4, 2020","['mysteryandthriller', 'scifi']","{'Lucy Drive', 'Gordon Hickie', 'Kate Davies-Speak', 'Toyah Willcox', 'Benjamin Symons', 'Jagjit Singh Banwait', 'Jon Campling', 'Simon Cox', 'Julie Hoult', 'Simon Haycock', 'Wayne Spencer', 'David Hardwick', 'Phil Taylor', 'Danny Steele', 'Michael Bott', 'Sophie Anderson'}",{'Simon Cox'},https://www.rottentomatoes.com/m/invasion_planet_earth
571,571,CircusofBooks,98,80,1h 32m,,,,,"Apr 22, 2020","['gayandlesbian', 'biography', 'documentary']","{'Kathryn Robson', 'Rhianon Jones', 'Camilla Hall', 'Ian M. Colletti', 'Alaska Thunderfuck', 'Cynthia Childs', 'Jeff Stryker', 'Adam Baran', 'Phil Tarley', 'Rachel Mason', 'Karen Mason', 'John Battsek', 'Larry Flynt'}",{'Rachel Mason'},https://www.rottentomatoes.com/m/circus_of_books
572,572,ElvisfromOuterSpace,0,,1h 32m,,,"Jul 7, 2020",,"Jul 7, 2020","['comedy', 'scifi']","{'David Heavener', 'M.Z. Silverman'}",{'M.Z. Silverman'},https://www.rottentomatoes.com/m/elvis_from_outer_space
573,573,Parasite,98,90,2h 12m,,,"Nov 1, 2019",,"Oct 11, 2019","['drama', 'mysteryandthriller', 'comedy']","{'Song Kang-ho', 'Park Sodam', 'Han Jinwon', 'Woo-sik Choi', 'Gwak Sin-ae', 'Hong Kyung-pyo', 'Bong Joon-ho', 'Lee Hajun', 'Jeong Jaeil', 'Jung Ziso', 'Lee Jeong-eun', 'Andreas Fronk', 'Jinmo Yang', 'Choi Seyeon', 'Park Seo-joon', 'Lee Seon-gyun', 'Yeo-jeong Jo', 'Jang Hyejin'}",{'Bong Joon-ho'},https://www.rottentomatoes.com/m/parasite_2019
574,574,GetIn,50,30,1h 37m,,,,,"May 2, 2020","['horror', 'mysteryandthriller']","{'Olivier Abbou', 'Eddy Leduc', 'Aurélien Molas', 'Benjamin Favreul', 'Léonard Glowinski', 'Adama Niane', 'Hubert Delattre', 'Paul Hamy', 'Jean-Christophe Barret', 'Stéphane Caillard', 'François Lardenois', 'Laurent Tangy'}",{'Olivier Abbou'},https://www.rottentomatoes.com/m/get_in
575,575,LeslieJonesTimeMachine,100,31,,,,,,,['comedy'],"{'David Benioff', 'Leslie Jones'}",{'David Benioff'},https://www.rottentomatoes.com/m/leslie_jones_time_machine
576,576,Carmilla,72,,1h 34m,,,"Jul 17, 2020",,"Jul 17, 2020","['fantasy', 'gayandlesbian', 'romance', 'drama']","{'Jessica Raine', 'Hannah Rae', 'Lorna Gayle', 'Devrim Lingnau', 'Tobias Menzies', 'Greg Wise', 'Emily Harris', 'Daniel Tuite', 'Lizzie Brown'}",{'Emily Harris'},https://www.rottentomatoes.com/m/carmilla_2020
577,577,TheNightClerk,36,31,1h 30m,,,"Feb 21, 2020",,"Feb 21, 2020",['mysteryandthriller'],"{'Johnathon Schaech', 'Kristi Shimek', 'Delphine Perrier', 'Santosh Govindaraju', 'Noah Greenberg', 'Tye Sheridan', 'Dan Reardon', 'Arianne Fraser', 'Pam Eichner', 'D.L. Walker', 'Ana de Armas', 'David M. Wulf', 'Helen Hunt', 'Jonathan Saba', 'Michael Cristofer', 'Jacque Gray', 'John Alberto Leguizamo'}",{'Michael Cristofer'},https://www.rottentomatoes.com/m/the_night_clerk_2020
578,578,RentaPal,69,68,1h 48m,,,"Sep 11, 2020",,"Sep 11, 2020",['mysteryandthriller'],"{'Luke Sorge', 'Raphael Margules', 'Kathleen Brady', 'Amy Rutledge', 'Josh Staab', 'Jon Stevenson', 'Annie Elizabeth Baker', 'Robert B. Martin Jr.', 'Olivia Hendrick', 'Adrian Egolf', 'Scott Park', 'Brian Landis Folkins', 'Wil Wheaton', 'Jimmy Weber'}",{'Jon Stevenson'},https://www.rottentomatoes.com/m/rent_a_pal
579,579,TheGangstertheCoptheDevil,97,94,1h 50m,,,"Jun 7, 2019",,"Oct 1, 2019","['drama', 'action', 'mysteryandthriller', 'crime']","{'Heo Dong-won', 'Yoo Seung-mok', 'Woo Gangmin', 'Kim Yunseong', 'Moon Donghyeok', 'Braden Aftergood', 'Choi Mincheol', 'Oh Huijun', 'Lee Wontae', 'Jang Wonseok', 'Ma Dong-seok', 'Kim Seong-gyu', 'Kim Mu-yeol'}",{'Lee Wontae'},https://www.rottentomatoes.com/m/the_gangster_the_cop_the_devil
580,580,DontLetGo,42,79,1h 43m,,,"Aug 30, 2019",,"Nov 12, 2019","['mysteryandthriller', 'drama']","{'Eric Fleischman', 'Jacob Aaron Estes', 'Sharone Meir', 'Jeanette Volturno', 'Brian Tyree Henry', 'Omar Leyva', 'Mykelti Williamson', 'Jason Blum', 'Daniel R. Lawson', 'Jay Martin', 'Alfred Molina', 'Shinelle Azoroh', 'Couper Samuelson', 'Byron Mann', 'Bobby Cohen', 'Storm Reid', 'David Oyelowo'}",{'Jacob Aaron Estes'},https://www.rottentomatoes.com/m/dont_let_go_2019
581,581,SkinWalker,60,0,1h 30m,,,"Jul 24, 2020",,"Aug 2, 2020","['horror', 'mysteryandthriller']","{'Felix Sorger', 'Sarah Lamesch', 'Amandine Klee', 'Udo Kier', 'Philippe Lambrechts', 'Sophie Mousel', 'Ferreira Virginia', 'Godart Nicolas', 'Jesus Gonzalez-Elvira', 'Christian Neuman', 'Alex Tate', 'Juliette Gillis', 'Damien Fleury', 'Luc Schiltz', 'Audrey de Broqueville', 'Jefferson Hall', 'Amber Anderson'}",{'Christian Neuman'},https://www.rottentomatoes.com/m/skin_walker
582,582,DevilsRevenge,20,,1h 30m,,,,,"Oct 1, 2019",['horror'],"{'Jared Cohn', 'Herschel Zahnd', 'Robert Scott Wilson', 'Taylor McDonald', 'Brian Perera', 'Ryan Broomberg', 'Jurgen Engler', 'AnnMarie Giaquinto', 'Jackie Dallas', 'Cambria Hankin', 'John Travisano', 'Jason Brooks', 'Jeri Ryan', 'Fernando Rubio', 'Michael Yahn', 'Nina Rosenberg', 'Lindsay Moremen', 'William Shatner'}",{'Jared Cohn'},https://www.rottentomatoes.com/m/devils_revenge
583,583,BloodVessel,73,21,1h 33m,,,,,"Jul 16, 2020",['horror'],{'Alyssa Sutherland'},set(),https://www.rottentomatoes.com/m/blood_vessel
584,584,ItStartedasaJoke,100,83,1h 16m,,,,,"Apr 3, 2020",['documentary'],"{'Ken Druckerman', 'Julie Smith Clem'}","{'Ken Druckerman,                                                     Julie Smith Clem'}",https://www.rottentomatoes.com/m/it_started_as_a_joke
585,585,JimmyCarterRockRollPresident,95,84,1h 35m,,,"Sep 9, 2020",,"Oct 2, 2020","['documentary', 'music']","{'David Crawford', 'Peter David Conlon', 'Bill Flanagan', 'Chris Farrell', 'Dave Kirkpatrick', 'Bob Dylan', 'Dan Braun', 'Mari Keiko Gonzalez', 'Mary Wharton', 'Willie Nelson', 'James Fideler', 'Jimmy Carter'}",{'Mary Wharton'},https://www.rottentomatoes.com/m/jimmy_carter_rock_and_roll_president
586,586,ColorOutofSpace,86,82,1h 51m,,,"Jan 24, 2020",,"Feb 21, 2020","['horror', 'scifi']","""{'Scarlett Amaris', 'Brendan Meyer', 'Daniel Noah', """"Q'orianka Kilcher""""", 'Elisa Lleras', 'Elliot Knight'
587,587,TheDisrupted,100,,1h 28m,,,,,,['documentary'],"{'Josh Gleason', 'Sarah Colt'}","{'Sarah Colt,                                                     Josh Gleason'}",https://www.rottentomatoes.com/m/the_disrupted
588,588,DearComrades,94,78,2h,,,"Jan 29, 2021",,"Feb 5, 2021","['drama', 'history']","{'Yekaterina Kharnas', 'Vladislav Komarov', 'Dmitriy Andreev', 'Andrey Gusev', 'Elena Kiseleva', 'Olesya Gidrat', 'Andrey Konchalovskiy', 'Alisher Usmanov', 'Karolina Maciejewska', 'Yuliya Burova', 'Sergei Erlish', 'Alexander Maskelyne', 'Yuliya Vysotskaya', 'Andrey Naydenov', 'Irina Ochina'}",{'Andrey Konchalovskiy'},https://www.rottentomatoes.com/m/dear_comrades
589,589,TheDonutKing,97,86,1h 30m,,,"Oct 30, 2020",,"Nov 20, 2020",['documentary'],"{'Ted Ngoy', 'Alice Gu'}",{'Alice Gu'},https://www.rottentomatoes.com/m/the_donut_king
590,590,EndingsBeginnings,45,46,1h 50m,,,"May 1, 2020",,"Apr 17, 2020",['drama'],"{'Seo Jonghae', 'Wendie Malick', 'Lindsay Sloane', 'Jerry Kyoungboum Ko', 'Drake Doremus', 'Shailene Woodley', 'Matthew Gray Gubler', 'Kelly Albanese', 'Jardine Libaire', 'Francis Chung', 'Garret Price', 'Marianne Bakke', 'Jamie Dornan', 'Robert George', 'Luke Baybak', 'Sebastian Stan'}",{'Drake Doremus'},https://www.rottentomatoes.com/m/endings_beginnings
591,591,Theth,78,80,1h 53m,,,"Aug 21, 2020",,"Aug 21, 2020","['drama', 'history']","{'Mo McRae', 'Jordan Fudge', 'Kevin Willmott', 'Trai Byers', 'Tony Grazia', 'Mykelti Williamson', 'Tosin Morohunfola', 'Alexandra Milchan', 'Thomas Haden Church', 'Lorenzo Yearby', 'Patrick Peach', 'Brett Pawlak', 'Aja Naomi King', 'Bashir Salahuddin'}",{'Kevin Willmott'},https://www.rottentomatoes.com/m/the_24th
592,592,DeadwoodTheMovie,98,84,1h 49m,,,,,"Nov 15, 2019",['western'],"{'David Milch', 'Molly Parker', 'Gregg Fienberg', 'Robin Weigert', 'Paula Malcomson', 'William Sanderson', 'Dayton Callie', 'Anna Gunn', 'Carolyn Strauss', 'Timothy Olyphant', 'Brad Dourif', 'Daniel Minahan', 'John Hawkes', 'Scott Stephens', 'Ian McShane'}",{'Daniel Minahan'},https://www.rottentomatoes.com/m/deadwood_the_movie
593,593,HappyHappyJoyJoyTheRenStimpyStory,81,83,1h 44m,,,,,"Aug 14, 2020",['documentary'],"{'John Kricfalusi', 'Kevin Klauber', 'Peter Wade', 'Jason Anders', 'Christina Burchard', 'Kimo Easterwood', 'Ron Cicero'}","{'Ron Cicero,                                                     Kimo Easterwood'}",https://www.rottentomatoes.com/m/happy_happy_joy_joy_the_ren_and_stimpy_story
594,594,LoveSarah,60,68,1h 37m,,,,,"Jan 15, 2021",['romance'],"{'Rajita Shah', 'Jake Brunger', 'Rupert Penry-Jones', 'Aaron Reid', 'Bill Paterson', 'Axel Schroeder', 'Shannon Tarbet', 'Rajen Shah', 'Candice Brown', 'Andrew David', 'Pietro Greppi', 'Mita Shah', 'Max Parker', 'Jim Hampton', 'Enis Rotthoff', 'Shelley Conn', 'Eliza Schroeder', 'Celia Imrie'}",{'Eliza Schroeder'},https://www.rottentomatoes.com/m/love_sarah
595,595,AndThenWeDanced,93,95,1h 45m,,,"Feb 7, 2020",,"May 29, 2020","['romance', 'drama']","{'Levan Akin', 'Teo Baramidze', 'Tamar Bukhnikashvili', 'Mattias Sandström', 'Marika Gogichaishvili', 'Ludvig Andersson', 'Ketie Danelia', 'Ana Javakishvili', 'Mathilde Dedye', 'Kakha Gogidze', 'Bachi Valishvili', 'Giorgi Tsereteli', 'Levan Gelbakhiani', 'Lisabi Fridell', 'Levan Gabrava', 'Simon Carlgren'}",{'Levan Akin'},https://www.rottentomatoes.com/m/and_then_we_danced
