title,audience_score,plot_des,release_year,runtime,budget,box_office_gross,studio,mpaa_rating,theater_release_date,directors,casts,genre,award
WEEKEND,76,"After a drunken house party with his straight mates, Russell heads out to a gay club. Just before closing time he picks up Glen but what's expected to be just a one-night stand becomes something else, something special.",2011,97,138069,1371498,EM Media,Unrated,11/4/2011,['Andrew Haigh'],"['Tom Cullen', 'Chris New', 'Jonathan Race', 'Laura Freeman']","['Drama', 'Romance']",0
CONQUEST 1453,66,"After the death of his father Murat II, Mehmet II ascends to the Ottoman throne. After braving internal and external enemies, he decides to complete what he was destined to do - conquer Constantinople.",2012,162,20,40352400,Aksoy Film,Unrated,4/25/2012,['Faruk Aksoy'],"['Devrim Evin', 'Ibrahim Celikkol', 'Dilek Serbest', 'Cengiz Coskun']","['Action', 'Drama', 'History', 'War']",0
YOU  ME FOREVER,57,"Laura and Christine have been friends forever. One day they meet the mysterious and fascinating Maria, and their friendship is put to the test. For Laura it is a meeting that changes the world she thought she knew so well.",2012,82,3494490,531116,Nimbus Film Productions,,9/13/2012,['Kaspar Munk'],"['Julie Brochorst Andersen', 'Frederikke Dahl Hansen', 'Emilie Kruse', 'Benjamin Wandschneider']","['Drama', 'Romance']",0
VICTOR FRANKENSTEIN,60,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today.",2015,110,70976828,37374539,Davis Entertainment,PG-13,11/25/2015,['Paul McGuigan'],"['Daniel Radcliffe', 'James McAvoy', 'Jessica Brown Findlay', 'Andrew Scott']","['Drama', 'Horror', 'Sci-Fi', 'Thriller']",0
METALHEAD,71,"A girl is caught between the life that took her brother and her own inability to strike out on her own. In her grief, she finds solace in the dark music of Black Metal and dreams of becoming a rock star.",2013,97,3888436,62702,Hummelfilm,Unrated,3/20/2015,['Ragnar Bragason'],"['Thora Bjorg Helga', 'Ingvar Sigurdsson', 'Halldóra Geirharðsdóttir', 'Sveinn Ólafur Gunnarsson']",['Drama'],0
GODS OF EGYPT,54,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict.",2016,127,150968680,162486365,Pyramania,PG-13,2/26/2016,['Alex Proyas'],"['Brenton Thwaites', 'Nikolaj Coster-Waldau', 'Gerard Butler', 'Chadwick Boseman']","['Action', 'Adventure', 'Fantasy']",0
VILLMARK 2,51,Five contract workers have taken on the task of tracking a huge old sanatorium for hazardous waste before demolishing. They realize that the job is more than a search for asbestos and mercury. The enormous building has much darker secrets.,2015,93,1637926,828241,Handmade films in Norwegian woods,Unrated,10/9/2015,['Pål Øie'],"['Ellen Dorrit Petersen', 'Anders Baasmo Christiansen', 'Tomas Norström', 'Baard Owe']",['Horror'],0
POOR BOY,42,Two misfit brothers hustle cash and chase dreams in the desert. When a mysterious woman threatens to repo their beloved houseboat the brothers cook up an epic con to finally leave their dusty town and sail off on a beam of sunshine to California.,2016,104,161752,33462,Them Gold Wolves,Unrated,4/17/2016,['Robert Scott Wildes'],"['Michael Shannon', 'Amanda Crew', 'Justin Chatwin', 'Dale Dickey']","['Drama', 'Western']",0
SECUESTRO,64,"When her boy's alleged kidnapper is released for lack of solid evidence, a reputable and well-known attorney takes matters into her own hands with unintended and spectacularly disastrous consequences.",2016,105,3235043,1232879,Rodar y Rodar Cine y Televisión,,8/19/2016,['Mar Targarona'],"['Blanca Portillo', 'Antonio Dechent', 'Vicente Romero', 'Marc Domènech']","['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",0
MANDY,65,"The enchanted lives of a couple in a secluded forest are brutally shattered by a nightmarish hippie cult and their demon-biker henchmen, propelling a man into a spiraling, surreal rampage of vengeance.",2018,121,6184080,1602916,SpectreVision,Unrated,9/14/2018,['Panos Cosmatos'],"['Nicolas Cage', 'Andrea Riseborough', 'Linus Roache', 'Ned Dennehy']","['Horror', 'Mystery', 'Thriller']",1
STILL OF THE NIGHT,61,A Manhattan psychiatrist probes a patient's murder and falls for the victim's mysterious mistress.,1982,93,26819792,16038093,United Artists,PG,11/19/1982,['Robert Benton'],"['Roy Scheider', 'Meryl Streep', 'Jessica Tandy', 'Joe Grifasi']","['Crime', 'Drama', 'Mystery']",1
MICKI  MAUDE,60,"A bigamist must keep his wives from meeting each other, which becomes tricky when they're both pregnant.",1984,118,37613533,64966445,BBE,PG-13,12/21/1984,['Blake Edwards'],"['Dudley Moore', 'Amy Irving', 'Ann Reinking', 'Richard Mulligan']","['Comedy', 'Romance']",0
WALL STREET,74,"A young and impatient stockbroker is willing to do anything to get to the top, including trading on illegal inside information taken through a ruthless and greedy corporate raider who takes the youth under his wing.",1987,126,34173987,99897557,Twentieth Century Fox,R,12/11/1987,['Oliver Stone'],"['Charlie Sheen', 'Michael Douglas', 'Tamara Tunie', 'Franklin Cover']","['Crime', 'Drama']",1
LICENSE TO KILL,66,"After capturing a drug lord, Felix Leiter is left for dead and his wife is murdered. James Bond goes rogue and seeks vengeance on those responsible, as he infiltrates an organisation posing as a hitman.",1989,133,66789935,325949526,Danjaq,PG-13,7/14/1989,['John Glen'],"['Timothy Dalton', 'Robert Davi', 'Carey Lowell', 'Talisa Soto']","['Action', 'Adventure', 'Thriller']",0
THE THREE MUSKETEERS,64,"France, 1625: Young d'Artagnan heads to Paris to join the Musketeers but the evil cardinal has disbanded them - save 3. He meets the 3, Athos, Porthos and Aramis, and joins them on their quest to save the king and country.",1993,105,53732387,96537120,Walt Disney Pictures,PG,11/12/1993,['Stephen Herek'],"['Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt']","['Action', 'Adventure', 'Comedy', 'Family', 'Romance']",0
MIXED NUTS,54,The events focus around a crisis hotline business on one crazy night during the Christmas holidays.,1994,97,26195445,11913426,TriStar Pictures,PG-13,12/21/1994,['Nora Ephron'],"['Steve Martin', 'Madeline Kahn', 'Robert Klein', 'Anthony LaPaglia']","['Comedy', 'Drama']",0
